Hull alternative,Response variable,RMS Response pr meter Hs,,,,,,,,,,,,,,,,,,,,
,,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21
VG 52,Roll [deg],0.300135126,0.300135126,0.300135126,0.62468764,0.817166315,0.781270677,0.950535535,0.949791455,0.794115486,0.718545559,0.638528892,0.546824202,0.473279896,0.413855024,0.366169336,0.323196656,0.323196656,0.323196656,0.323196656,0.323196656,0.323196656
,Lateral acceleration [m/sÅ2],0.191503008,0.191503008,0.191503008,0.277994673,0.318093447,0.295590206,0.306902979,0.28601459,0.239517976,0.210778696,0.185140187,0.15941073,0.13905325,0.122046256,0.108345462,0.096279246,0.096279246,0.096279246,0.096279246,0.096279246,0.096279246
,Vertical acceleration [m/s^2],0.331636676,0.331636676,0.331636676,0.392098945,0.382987526,0.343104141,0.297774083,0.255121449,0.219771618,0.188665032,0.165672417,0.147084329,0.131261366,0.117374831,0.104650421,0.095238025,0.095238025,0.095238025,0.095238025,0.095238025,0.095238025
VG70,Roll [deg],0.209509909,0.209509909,0.209509909,0.418223081,0.509405815,0.450972325,0.446333072,0.526598085,0.505470975,0.507923853,0.455970764,0.404300872,0.34992503,0.305988555,0.270731584,0.23895923,0.23895923,0.23895923,0.23895923,0.23895923,0.23895923
,Lateral acceleration [m/sÅ2],0.179251962,0.179251962,0.179251962,0.241966368,0.261288332,0.235248904,0.216236857,0.211504814,0.190248818,0.175544611,0.155247995,0.136738909,0.119824654,0.105577056,0.093860074,0.083779784,0.083779784,0.083779784,0.083779784,0.083779784,0.083779784
,Vertical acceleration [m/s^2],0.331636676,0.331636676,0.331636676,0.392098945,0.382987526,0.343104141,0.297774083,0.255121449,0.219771618,0.188665032,0.165672417,0.147084329,0.131261366,0.117374831,0.104650421,0.095238025,0.095238025,0.095238025,0.095238025,0.095238025,0.095238025
2xVG52,Roll [deg],0.183199362,0.183199362,0.183199362,0.332460879,0.359891901,0.363265983,0.329978657,0.345776613,0.376930392,0.379668178,0.361380181,0.393248043,0.340358734,0.297623401,0.263330288,0.232426532,0.232426532,0.232426532,0.232426532,0.232426532,0.232426532
,Lateral acceleration [m/sÅ2],0.175695206,0.175695206,0.175695206,0.227000765,0.233691694,0.219226072,0.195313906,0.179668381,0.168308036,0.154089219,0.139759669,0.134980686,0.118333457,0.104299853,0.092736718,0.082810438,0.082810438,0.082810438,0.082810438,0.082810438,0.082810438
,Vertical acceleration [m/s^2],0.331636676,0.331636676,0.331636676,0.392098945,0.382987526,0.343104141,0.297774083,0.255121449,0.219771618,0.188665032,0.165672417,0.147084329,0.131261366,0.117374831,0.104650421,0.095238025,0.095238025,0.095238025,0.095238025,0.095238025,0.095238025
FINS,Roll [deg],0.139675212,0.139675212,0.139675212,0.236697431,0.306785322,0.219111152,0.159050467,0.120083621,0.080461792,0.065860487,0.066715593,0.057865125,0.050082641,0.043794281,0.038748165,0.034200781,0.034200781,0.034200781,0.034200781,0.034200781,0.034200781
,Lateral acceleration [m/sÅ2],0.169811453,0.169811453,0.169811453,0.210289932,0.223889509,0.19289082,0.164577451,0.139931619,0.117703372,0.101593553,0.09151109,0.081629829,0.073085127,0.065544876,0.058650006,0.053396964,0.053396964,0.053396964,0.053396964,0.053396964,0.053396964
,Vertical acceleration [m/s^2],0.331636676,0.331636676,0.331636676,0.392098945,0.382987526,0.343104141,0.297774083,0.255121449,0.219771618,0.188665032,0.165672417,0.147084329,0.131261366,0.117374831,0.104650421,0.095238025,0.095238025,0.095238025,0.095238025,0.095238025,0.095238025
FINS+VG52,Roll [deg],0.107678349,0.107678349,0.107678349,0.14908168,0.173672619,0.136049445,0.110479112,0.098138354,0.085264657,0.056302036,0.066715593,0.057865125,0.050082641,0.043794281,0.038748165,0.034200781,0.034200781,0.034200781,0.034200781,0.034200781,0.034200781
,Lateral acceleration [m/sÅ2],0.165486001,0.165486001,0.165486001,0.195000882,0.199320136,0.177716504,0.155843308,0.136067814,0.118523181,0.099994557,0.09151109,0.081629829,0.073085127,0.065544876,0.058650006,0.053396964,0.053396964,0.053396964,0.053396964,0.053396964,0.053396964
,Vertical acceleration [m/s^2],0.331636676,0.331636676,0.331636676,0.392098945,0.382987526,0.343104141,0.297774083,0.255121449,0.219771618,0.188665032,0.165672417,0.147084329,0.131261366,0.117374831,0.104650421,0.095238025,0.095238025,0.095238025,0.095238025,0.095238025,0.095238025
VG52+VG70,Roll [deg],0.152796064,0.152796064,0.152796064,0.275286079,0.321785699,0.318479766,0.270878002,0.280122825,0.289101951,0.294948832,0.288017287,0.309479229,0.267856282,0.234224333,0.207236263,0.182915555,0.182915555,0.182915555,0.182915555,0.182915555,0.182915555
,Lateral acceleration [m/sÅ2],0.171585178,0.171585178,0.171585178,0.217023696,0.226658214,0.211044201,0.184686375,0.168109011,0.15331647,0.13991685,0.127747179,0.121655207,0.107031752,0.094619997,0.084222857,0.075463815,0.075463815,0.075463815,0.075463815,0.075463815,0.075463815
,Vertical acceleration [m/s^2],0.331636676,0.331636676,0.331636676,0.392098945,0.382987526,0.343104141,0.297774083,0.255121449,0.219771618,0.188665032,0.165672417,0.147084329,0.131261366,0.117374831,0.104650421,0.095238025,0.095238025,0.095238025,0.095238025,0.095238025,0.095238025
2 x VG70,Roll [deg],0.122392766,0.122392766,0.122392766,0.218111278,0.283679498,0.273693549,0.211777347,0.214469038,0.20127351,0.210229487,0.214654393,0.225710415,0.195353829,0.170825265,0.151142237,0.133404577,0.133404577,0.133404577,0.133404577,0.133404577,0.133404577
,Lateral acceleration [m/sÅ2],0.16747515,0.16747515,0.16747515,0.207046627,0.219624735,0.202862329,0.174058844,0.15654964,0.138324903,0.12574448,0.115734689,0.108329728,0.095730046,0.084940141,0.075708996,0.068117192,0.068117192,0.068117192,0.068117192,0.068117192,0.068117192
,Vertical acceleration [m/s^2],0.331636676,0.331636676,0.331636676,0.392098945,0.382987526,0.343104141,0.297774083,0.255121449,0.219771618,0.188665032,0.165672417,0.147084329,0.131261366,0.117374831,0.104650421,0.095238025,0.095238025,0.095238025,0.095238025,0.095238025,0.095238025
